MLS #,Status,Price,Address,City,Property Type,Beds,Baths,Square Footage,Lot Size,Price per/Sqft,Favorite,Utilities
7001539,Coming Soon - Jan 15,"$769,000",10480 Heather Lane,Rogers,Single Family Residence,5,4,"2,210 sqft",3.10 acres,$348,,- -
7001619,Coming Soon - Jan 2,"$350,000",342 74th Avenue N,Brooklyn Park,Single Family Residence,3,2,"2,289 sqft",0.31 acres,$153,,- -
7001441,Coming Soon - Jan 8,"$495,000",8146 Balsam Lane N,Maple Grove,Single Family Residence,3,4,"2,235 sqft",0.062 acres,$221,,- -
7001365,Coming Soon - Jan 2,"$144,900",3014 Fremont Avenue N,Minneapolis,Single Family Residence,3,1,"1,229 sqft",0.13 acres,$118,,- -
7002409,Coming Soon - Jan 2,"$379,900",3933 Edgewood Avenue N,Crystal,Single Family Residence,3,2,"1,856 sqft",0.25 acres,$205,,- -
7001934,Coming Soon - Jan 2,"$374,900",17581 Lorence Way,Eden Prairie,Single Family Residence,3,2,"1,246 sqft",0.34 acres,$301,,- -
7001098,Coming Soon - Jan 2,"$329,900",2624 Portland Avenue,Minneapolis,Townhouse,5,2,"2,372 sqft",1.835 acres,$139,,- -
7000938,Coming Soon - Jan 2,"$409,900",7605 Oakland Avenue,Richfield,Single Family Residence,4,2,"2,059 sqft",0.18 acres,$199,,- -
7002326,Coming Soon - Jan 2,"$700,000",6027 James Avenue S,Minneapolis,Single Family Residence,3,3,"2,176 sqft",0.18 acres,$322,,- -
7002363,Coming Soon - Jan 5,"$499,900",16439 Ellerdale Lane,Eden Prairie,Townhouse,3,4,"2,764 sqft",0.06 acres,$181,,- -
7002150,Coming Soon - Jan 6,"$435,000",7864 Penn Avenue N,Brooklyn Park,Single Family Residence,4,4,"2,034 sqft",0.26 acres,$214,,- -
7002246,Coming Soon - Jan 2,"$285,000",4525 Park Commons Drive #217,St Louis Park,Condominium,2,1,980 sqft,- -,$291,,- -
7001862,Coming Soon - Jan 1,"$480,000",8931 Prestwick Parkway N,Brooklyn Park,Single Family Residence,4,3,"2,550 sqft",0.21 acres,$188,,- -
6823343,Coming Soon - Jan 2,"$849,900",61 4th Avenue N #101,Minneapolis,Townhouse,3,4,"2,178 sqft",6.044 acres,$390,,- -
6825203,Coming Soon - Jan 2,"$359,900",18893 97th Place N,Maple Grove,Townhouse,3,2,"1,569 sqft",0.312 acres,$229,,- -
7000985,Coming Soon - Jan 9,"$2,300,000",- -,Edina,Single Family Residence,6,7,"6,087 sqft",0.44 acres,$378,,- -
7001346,Coming Soon - Jan 1,"$250,000",6600 Lyndale Avenue S #400,Richfield,Condominium,2,2,"1,202 sqft",4.08 acres,$208,,- -
7000993,Coming Soon - Jan 3,"$399,900",4525 Walnut Street,Maple Plain,Single Family Residence,2,2,"1,720 sqft",0.28 acres,$233,,- -
7000971,Coming Soon - Jan 2,"$390,000",2824 Kenwood Isles Drive,Minneapolis,Townhouse,2,2,"1,480 sqft",3.21 acres,$264,,- -
7000637,Coming Soon - Jan 5,"$495,000",5424 3rd Avenue S,Minneapolis,Single Family Residence,4,2,"1,858 sqft",0.15 acres,$266,,- -
7000523,Coming Soon - Jan 6,"$535,000",17775 Valley Cove Court,Minnetonka,Townhouse,3,3,"2,430 sqft",0.05 acres,$220,,- -
6823988,Coming Soon - Jan 5,"$435,000",5238 34th Avenue S,Minneapolis,Single Family Residence,4,2,"2,020 sqft",0.14 acres,$215,,- -
6826657,Coming Soon - Jan 2,"$375,000",3033 Longfellow Road,Mound,Single Family Residence,3,1,"1,656 sqft",0.15 acres,$226,,- -
6817815,Coming Soon - Jan 2,"$480,000",2500 16th Avenue S,Minneapolis,- -,11,4,"3,757 sqft",0.148 acres,$128,,- -
7003120,For Sale,"$697,200",5296 176th Street W,Lakeville,Single Family Residence,3,3,"2,783 sqft",0.209 acres,$251,,- -
7003069,For Sale,"$237,500",3772 Vermilion Court S,Eagan,Townhouse,2,2,"1,297 sqft",- -,$183,,- -
7003012,For Sale,"$425,000",1420 Summit Shores Drive,Burnsville,Townhouse,3,3,"3,116 sqft",0.075 acres,$136,,- -
7002774,For Sale,"$625,000",5956 Upper 179th Street W,Lakeville,Single Family Residence,5,3,"2,210 sqft",0.257 acres,$283,,- -
7002977,For Sale,"$165,500",1887 Silver Bell Road #103,Eagan,Condominium,3,2,"1,288 sqft",- -,$128,,- -
7002395,For Sale,"$299,900",20452 Cypress Drive,Farmington,Townhouse,2,2,"1,577 sqft",0.07 acres,$190,,- -
7002743,For Sale,"$639,990",19240 Everglade Path,Farmington,Single Family Residence,5,4,"3,712 sqft",0.18 acres,$172,,- -
6821813,Active Under Contract,"$415,000",18330 Gladden Lane,Lakeville,Townhouse,4,4,"2,460 sqft",0.04 acres,$169,,- -
7002831,For Sale,"$719,990",13660 Aulden Avenue,Rosemount,Single Family Residence,5,4,"3,448 sqft",0.303 acres,$209,,- -
7002738,For Sale,"$428,990",17977 Genoa Drive,Lakeville,Townhouse,3,3,"1,883 sqft",0.042 acres,$228,,- -
7002737,For Sale,"$394,990",17971 Genoa Drive,Lakeville,Townhouse,3,3,"1,883 sqft",0.042 acres,$210,,- -
7002736,For Sale,"$374,990",17969 Genoa Drive,Lakeville,Townhouse,3,3,"1,883 sqft",0.042 acres,$199,,- -
7002735,For Sale,"$399,990",17973 Genoa Drive,Lakeville,Townhouse,3,3,"2,020 sqft",0.042 acres,$198,,- -
6721878,For Sale,"$270,000",4316 Clemson Circle #B,Eagan,Townhouse,2,1,"1,702 sqft",0.14 acres,$159,,- -
6824199,For Sale,"$489,000",9524 208th Street W,Lakeville,Single Family Residence,4,2,"2,127 sqft",0.321 acres,$230,,- -
7002519,For Sale,"$580,000",19320 Ellington Trail,Farmington,Single Family Residence,5,4,"3,500 sqft",0.258 acres,$166,,- -
7002636,For Sale,"$390,000",655 11th Avenue N,South St Paul,Single Family Residence,4,2,"1,728 sqft",0.218 acres,$226,,- -
6826890,For Sale,"$300,000",5422 144th Street W,Apple Valley,Single Family Residence,4,2,"1,646 sqft",0.134 acres,$182,,- -
7002591,For Sale,"$279,900",15436 Frost Path #1601,Apple Valley,Townhouse,2,2,"1,222 sqft",- -,$229,,- -
6817807,For Sale,"$230,000",1111 Elway Street #609,St Paul,Condominium,3,2,"1,200 sqft",- -,$192,,- -
7003148,For Lease,$12,2400 County Road D W,Roseville,- -,- -,- -,"29,808 sqft",1.248 acres,$0,,- -
7002649,For Sale,"$249,900",1007 Hudson Road,St Paul,Single Family Residence,3,2,"1,201 sqft",0.115 acres,$208,,- -
7003065,For Sale,"$164,750",827 Pedersen Street,St Paul,Single Family Residence,2,1,722 sqft,0.232 acres,$228,,- -
6788866,For Sale,"$450,000",649 Randy Avenue,Shoreview,Single Family Residence,4,3,"2,533 sqft",0.267 acres,$178,,- -
7003048,For Sale,"$239,900",1666 Coffman Street #101,Falcon Heights,Condominium,2,2,"1,211 sqft",- -,$198,,- -
7002740,For Sale,"$89,900",856 Euclid Street,St Paul,Single Family Residence,2,1,961 sqft,0.057 acres,$94,,- -
7002798,For Sale,"$311,000",1442 Sandhurst Avenue E,Maplewood,Single Family Residence,3,2,"1,136 sqft",0.232 acres,$274,,- -
7002646,For Sale,"$385,000",2308 16th Avenue E,North St Paul,Single Family Residence,4,2,"1,466 sqft",0.186 acres,$263,,- -
7002389,For Sale,"$35,000",562 Western Avenue N,St Paul,- -,- -,- -,- -,- -,- -,,Water
7002747,For Sale,"$229,900",1310 Rice Street,St Paul,Single Family Residence,3,2,"1,200 sqft",0.097 acres,$192,,- -
7002726,For Sale,"$1,075,000",1181 12th Avenue NW,New Brighton,Single Family Residence,4,5,"4,804 sqft",1.20 acres,$224,,- -
7002704,For Sale,"$299,900",1034 Reaney Avenue,St Paul,- -,7,2,"2,944 sqft",0.145 acres,$102,,- -
7002147,For Sale,"$175,000",2670 Oxford Street N #242,Roseville,Condominium,2,2,"1,022 sqft",5.062 acres,$171,,- -
7002610,For Sale,"$89,987",132 Western Avenue S,St Paul,- -,- -,- -,- -,0.142 acres,- -,,- -
7002573,For Sale,"$215,000",813 Jessamine Avenue E,St Paul,Single Family Residence,3,1,"1,246 sqft",0.112 acres,$173,,- -
7002185,For Sale,"$250,000",829 Lawson Avenue E,St Paul,Single Family Residence,3,2,782 sqft,0.114 acres,$320,,- -
7002551,For Sale,"$247,500",366 Topping Street,St Paul,Single Family Residence,3,2,"1,337 sqft",0.124 acres,$185,,- -
7003129,For Sale,"$130,000",1049 Helmo Ave North,Oakdale,- -,- -,- -,"1,450 sqft",- -,$90,,- -
6826322,For Sale,"$829,900",12521 Homestead Drive,Hugo,Single Family Residence,6,3,"3,520 sqft",0.975 acres,$236,,- -
7002979,For Sale,"$524,000",9480 206th Street N,Forest Lake,Single Family Residence,3,3,"3,025 sqft",2.242 acres,$173,,- -
7002799,For Sale,"$449,900",349 69th Street N,Mahtomedi,Single Family Residence,4,3,"1,898 sqft",0.241 acres,$237,,- -
6818281,For Sale,"$575,000",13025 4th Street N,Stillwater,Single Family Residence,3,3,"2,587 sqft",3.148 acres,$222,,- -
7002913,For Sale,"$1,400,000",10484 56th Place N,Lake Elmo,Single Family Residence,4,3,"3,601 sqft",1.172 acres,$389,,- -
7003121,For Sale,"$1,100,000",230 Board Circle,St Paul,Single Family Residence,4,4,"4,200 sqft",0.592 acres,$262,,- -
7002880,For Sale,"$514,900",21857 Iden Avenue Place N,Forest Lake,Single Family Residence,5,3,"2,581 sqft",0.351 acres,$199,,- -
7003122,For Sale,"$359,900",14744 Zeolite Street NW,Ramsey,Single Family Residence,3,3,"1,930 sqft",0.16 acres,$186,,- -
7001926,For Sale,"$388,000",424 106th Avenue NW,Coon Rapids,Single Family Residence,3,2,"2,002 sqft",0.29 acres,$194,,- -
6800838,For Sale,"$475,000",10159 Terrace Court NE,Blaine,Single Family Residence,4,3,"2,080 sqft",0.34 acres,$228,,- -
7002916,For Sale,"$420,000",1113 Legion Street S,Shakopee,Single Family Residence,3,2,"1,948 sqft",0.38 acres,$216,,- -
7001195,Coming Soon - Jan 16,"$499,900",969 Bridle Creek Drive,Jordan,Single Family Residence,4,3,"2,758 sqft",0.362 acres,$181,,- -
7001205,Coming Soon - Jan 2,"$619,999",13732 Ashcroft Road,Savage,Single Family Residence,4,4,"3,415 sqft",0.35 acres,$182,,- -
6825826,Coming Soon - Jan 7,"$250,000",5482 Egan Drive,Savage,Townhouse,3,2,"1,398 sqft",0.03 acres,$179,,- -
